0,1,2,3,4
0.017687218,-0.07055536,0.021491429,-0.0030853283,0.014713206
-0.005899237,-0.0016467716,0.0485677,-0.09794274,0.07063542
0.0004431277,0.033446986,-0.011703325,-0.02266103,-0.052345738
-0.010621536,0.09047802,-0.07564514,0.021318257,-0.003807852
-0.0068176803,-0.024063727,-0.012235609,0.047668587,0.01255127
-0.017791217,0.0048013357,-0.073345646,0.06813298,-0.0542088
-0.013304416,0.021018682,-0.02425541,0.014235274,-0.032169145
-0.0039285826,-0.021299863,-0.01922432,-0.028312786,-0.010430084
-0.14440142,0.11964387,-0.05117767,-0.07464938,-0.08003723
0.008602368,0.010494995,-0.012968933,0.024095807,0.007622854
0.0016113378,0.014511367,-0.044280738,-0.004478251,-0.012163558
0.02837549,-0.030187245,-0.0049904035,-0.002599642,0.020590411
-0.0356074,0.018298447,0.028524429,0.00949018,0.02702031
0.12689538,-0.065676965,-0.022622803,-0.13285044,0.084120065
0.08953415,0.0536727,-0.049381316,-0.05984564,-0.11766156
-0.00440447,0.016178563,-0.062228233,0.0011427173,-0.028335191
0.011617897,0.027825624,-0.038989987,0.039900128,0.0080412505
0.057017,-0.08670242,-0.05885647,-0.040821332,-0.08864834
0.042821594,0.031692423,-0.062758066,0.004333101,0.008403356
-0.0888357,0.08487912,0.04578766,-0.017113315,-0.05902769
0.010072985,0.0012548624,-0.03690563,-0.005870596,0.024479311
0.01861475,-0.018967515,0.03394072,-0.01823507,-0.01576237
-0.033897817,-0.009114118,-0.008868677,0.010048863,-0.016556952
-0.045319628,0.019245362,0.00532442,-0.014820142,0.00373863
0.03213245,-0.06690327,-0.036449153,0.032062374,-0.011168169
0.04816493,-0.039015714,0.0010687833,-0.08064827,0.05486092
0.009833722,0.019157501,0.015229418,0.010495562,-0.03183879
0.029661784,0.020981783,0.020291585,-0.03921694,-0.018387994
-0.09542169,0.0345932,-0.0436216,0.02844372,-0.0017942523
0.05946976,0.013680878,-0.19238086,0.12197206,-0.11941771
-0.009522685,0.021307606,0.018434208,-0.035810445,-0.07697625
0.09119257,-0.110346735,-0.021334179,0.033689838,-0.18731597
-0.03331638,0.019439632,-0.009403511,0.03979118,-0.020902064
